Node-Id,Node-Title,authorityCentrality-2-New_Testament,betweennessCentrality-2-New_Testament,betweennessCentrality-2-New_Testament-unscaled,bonacichPowerCentrality-2-New_Testament,brokerage-2-New_Testament,capability-3-New_Testament,cliqueCount-1-New_Testament,closenessCentrality-2-New_Testament,closenessCentrality-2-New_Testament-unscaled,clusteringCoefficient-1-New_Testament,columnDegreeCentrality-2-New_Testament,columnDegreeCentrality-2-New_Testament-unscaled,columnDegreeCentrality-3-New_Testament,columnDegreeCentrality-3-New_Testament-unscaled,columnGiniMeansDifference-2-New_Testament,columnGiniMeansDifference-3-New_Testament,correlationDistinctiveness-3-New_Testament,correlationExpertise-3-New_Testament,correlationResemblance-3-New_Testament,correlationSimilarity-3-New_Testament,diagonal-2-New_Testament,eccentricity-2-New_Testament,eccentricity-2-New_Testament-unscaled,egoBetweennessCentrality-2-New_Testament,eigenvectorCentrality-2-New_Testament,eigenvectorCentrality-2-New_Testament-unscaled,exclusivity-3-New_Testament,exclusivity-3-New_Testament-unscaled,exclusivityComplete-3-New_Testament,exclusivityComplete-3-New_Testament-unscaled,hubCentrality-2-New_Testament,inClosenessCentrality-2-New_Testament,inClosenessCentrality-2-New_Testament-unscaled,inDegreeCentrality-2-New_Testament,inDegreeCentrality-2-New_Testament-unscaled,inDegreeCentrality-3-New_Testament,inDegreeCentrality-3-New_Testament-unscaled,inInverseClosenessCentrality-2-New_Testament,inInverseClosenessCentrality-2-New_Testament-unscaled,informationCentrality-1-New_Testament,informationCentrality-1-New_Testament-unscaled,interlockers-2-New_Testament,inverseClosenessCentrality-2-New_Testament,inverseClosenessCentrality-2-New_Testament-unscaled,outDegreeCentrality-3-New_Testament,outDegreeCentrality-3-New_Testament-unscaled,pageRankCentrality-2-New_Testament,potentialBoundarySpanner-2-New_Testament,radials-2-New_Testament,rowDegreeCentrality-3-New_Testament,rowDegreeCentrality-3-New_Testament-unscaled,rowGiniMeansDifference-2-New_Testament,simmelianTies-2-New_Testament,simmelianTies-2-New_Testament-unscaled,strongComponentCount-1-New_Testament,structuralHolesConstraint-2-New_Testament,structuralHolesEffectiveNetworkSize-2-New_Testament,structuralHolesEfficiency-2-New_Testament,totalDegreeCentrality-2-New_Testament,totalDegreeCentrality-2-New_Testament-unscaled,triadCount-2-New_Testament,weakBoundarySpanner-2-New_Testament,weakComponentMembers-2-New_Testament
11,11,1.74E-02,6.78E-02,7.33E+01,40,6.36E-01,9.93E-01,4,2.87E-04,6.11E-06,3.64E-01,2.50E-02,10,7.58E-03,40,4.88E-02,1.50E+00,2.28E-01,2.88E-02,7.72E-01,9.01E-02,20,5.00E-01,4,8.04E-01,2.46E-02,1.74E-02,2.72E-02,1.30E+00,0,0,1.74E-02,5.18E-05,0,2.50E-02,10,7.58E-03,40,2.13E-01,10,3.28E-02,3.40E+00,1,2.13E-01,10,7.58E-03,40,9.52E-02,1.78E-01,0,7.58E-03,40,1.50E+00,1.49E-01,7,1,2.81E-01,8.57E+00,8.57E-01,7.58E-03,40,10,1,2
23,23,7.15E-02,5.98E-02,6.47E+01,85,5.45E-01,9.93E-01,7,2.87E-04,6.11E-06,4.55E-01,5.25E-02,21,1.61E-02,85,9.95E-02,3.27E+00,2.23E-01,2.59E-02,7.77E-01,1.03E-01,49,6.25E-01,5,6.11E-01,1.01E-01,7.15E-02,1.74E-02,8.37E-01,0,0,7.15E-02,5.18E-05,0,5.25E-02,21,1.61E-02,85,1.98E-01,9.28E+00,3.44E-02,3.57E+00,1,1.98E-01,9.28E+00,1.61E-02,85,1.28E-01,7.38E-02,0,1.61E-02,85,3.27E+00,1.70E-01,8,1,5.34E-01,7.19E+00,7.19E-01,1.61E-02,85,15,1,2
14,14,1.21E-02,2.74E-02,2.97E+01,27,2.67E-01,6.12E-01,3,2.87E-04,6.11E-06,7.33E-01,2.00E-02,8,5.11E-03,27,3.92E-02,1.06E+00,1.38E-01,3.50E-02,8.62E-01,9.59E-02,17,7.50E-01,6,7.00E-01,1.71E-02,1.21E-02,3.35E-03,1.61E-01,0,0,1.21E-02,5.18E-05,0,2.00E-02,8,5.11E-03,27,1.61E-01,7.58E+00,3.16E-02,3.27E+00,1,1.61E-01,7.58E+00,5.11E-03,27,4.23E-02,1.07E-01,0,5.11E-03,27,1.06E+00,1.06E-01,5,1,5.74E-01,3.36E+00,6.73E-01,5.11E-03,27,6,0,2
12,12,6.52E-04,2.16E-02,2.33E+01,4,0,9.34E-02,1,2.87E-04,6.11E-06,1,5.00E-03,2,7.58E-04,4,9.95E-03,1.58E-01,9.49E-02,4.35E-02,9.05E-01,5.82E-02,2,6.25E-01,5,1,9.22E-04,6.52E-04,2.84E-03,1.36E-01,0,0,6.52E-04,5.18E-05,0,5.00E-03,2,7.58E-04,4,1.51E-01,7.12E+00,1.87E-02,1.94E+00,0,1.51E-01,7.12E+00,7.58E-04,4,1.41E-02,5.66E-01,0,7.58E-04,4,1.58E-01,4.26E-02,2,1,6.42E-01,1.41E+00,7.05E-01,7.58E-04,4,1,0,2
41,41,5.66E-02,1.39E-02,15,88,4.29E-01,9.07E-01,3,2.87E-04,6.11E-06,5.71E-01,5.75E-02,23,1.67E-02,88,1.08E-01,3.46E+00,1.72E-01,3.14E-02,8.28E-01,9.89E-02,62,7.50E-01,6,3.10E-01,8.01E-02,5.66E-02,1.10E-02,5.30E-01,0,0,5.66E-02,5.17E-05,0,5.75E-02,23,1.67E-02,88,1.17E-01,5.48E+00,3.45E-02,3.57E+00,1,1.17E-01,5.48E+00,1.67E-02,88,9.58E-02,1.65E-02,0,1.67E-02,88,3.46E+00,1.28E-01,6,1,4.97E-01,4.95E+00,7.07E-01,1.67E-02,88,9,1,2
44,44,1.84E-02,1.13E-02,1.22E+01,45,1.33E-01,6.12E-01,2,2.87E-04,6.11E-06,8.67E-01,4.00E-02,16,8.52E-03,45,7.68E-02,1.79E+00,1.34E-01,3.24E-02,8.66E-01,1.10E-01,33,6.25E-01,5,6.00E-01,2.60E-02,1.84E-02,5.50E-04,2.64E-02,0,0,1.84E-02,5.18E-05,0,4.00E-02,16,8.52E-03,45,1.55E-01,7.28E+00,3.32E-02,3.44E+00,1,1.55E-01,7.28E+00,8.52E-03,45,4.42E-02,2.62E-02,0,8.52E-03,45,1.79E+00,1.06E-01,5,1,6.85E-01,2.41E+00,4.83E-01,8.52E-03,45,8,0,2
15,15,1.64E-03,5.55E-03,6,25,1.67E-01,2.04E-01,2,2.87E-04,6.11E-06,8.33E-01,2.00E-02,8,4.73E-03,25,3.92E-02,1.01E+00,1.08E-01,4.01E-02,8.92E-01,7.63E-02,20,7.50E-01,6,6.67E-01,2.32E-03,1.64E-03,1.42E-03,6.82E-02,0,0,1.64E-03,5.18E-05,0,2.00E-02,8,4.73E-03,25,1.48E-01,6.95E+00,3.13E-02,3.24E+00,0,1.48E-01,6.95E+00,4.73E-03,25,2.52E-02,2.33E-02,0,4.73E-03,25,1.01E+00,6.38E-02,3,1,5.09E-01,2.65E+00,8.83E-01,4.73E-03,25,2,0,2
38,38,8.22E-03,2.62E-03,2.83E+00,35,0,9.34E-02,1,2.87E-04,6.11E-06,1,2.75E-02,11,6.63E-03,35,5.35E-02,1.42E+00,9.84E-02,4.54E-02,9.02E-01,3.97E-02,32,8.75E-01,7,5.00E-01,1.16E-02,8.22E-03,2.97E-03,1.42E-01,0,0,8.22E-03,5.17E-05,0,2.75E-02,11,6.63E-03,35,1.19E-01,5.59E+00,3.25E-02,3.37E+00,0,1.19E-01,5.59E+00,6.63E-03,35,1.63E-02,7.85E-03,0,6.63E-03,35,1.42E+00,4.26E-02,2,1,7.59E-01,1.42E+00,7.08E-01,6.63E-03,35,1,0,2
3,3,3.31E-02,1.23E-03,1.33E+00,56,2.00E-01,3.88E-01,2,2.87E-04,6.11E-06,8.00E-01,3.00E-02,12,1.06E-02,56,5.82E-02,2.24E+00,1.26E-01,3.91E-02,8.74E-01,7.46E-02,43,7.50E-01,6,6.67E-01,4.68E-02,3.31E-02,1.57E-03,7.52E-02,0,0,3.31E-02,5.18E-05,0,3.00E-02,12,1.06E-02,56,1.37E-01,6.42E+00,3.37E-02,3.49E+00,0,1.37E-01,6.42E+00,1.06E-02,56,4.68E-02,2.31E-03,0,1.06E-02,56,2.24E+00,8.51E-02,4,1,7.52E-01,2.24E+00,5.61E-01,1.06E-02,56,4,0,2
31,31,1.44E-03,0,0,18,0,3.99E-02,0,2.87E-04,6.11E-06,1,1.75E-02,7,3.41E-03,18,3.44E-02,7.31E-01,8.16E-02,4.67E-02,9.18E-01,3.47E-02,16,8.75E-01,7,0,2.03E-03,1.44E-03,7.67E-03,3.68E-01,0,0,1.44E-03,5.17E-05,0,1.75E-02,7,3.41E-03,18,9.24E-02,4.34E+00,2.98E-02,3.09E+00,0,9.24E-02,4.34E+00,3.41E-03,18,1.30E-02,0,0,3.41E-03,18,7.31E-01,0,0,1,1,1,1,3.41E-03,18,0,0,2
21,21,6.41E-04,0,0,5,0,3.99E-02,0,2.87E-04,6.11E-06,1,7.50E-03,3,9.47E-04,5,1.49E-02,2.02E-01,8.16E-02,4.67E-02,9.18E-01,3.47E-02,4,7.50E-01,6,0,9.06E-04,6.41E-04,7.67E-03,3.68E-01,0,0,6.41E-04,5.18E-05,0,7.50E-03,3,9.47E-04,5,1.30E-01,6.12E+00,2.07E-02,2.15E+00,0,1.30E-01,6.12E+00,9.47E-04,5,9.96E-03,0,0,9.47E-04,5,2.02E-01,0,0,1,1,1,1,9.47E-04,5,0,0,2
18,18,1.44E-03,0,0,39,0,3.99E-02,0,2.87E-04,6.11E-06,1,3.25E-02,13,7.39E-03,39,6.29E-02,1.59E+00,8.42E-02,4.81E-02,9.16E-01,2.29E-02,37,1,8,0,2.04E-03,1.44E-03,7.68E-03,3.69E-01,0,0,1.44E-03,5.17E-05,0,3.25E-02,13,7.39E-03,39,7.08E-02,3.33E+00,3.29E-02,3.40E+00,0,7.08E-02,3.33E+00,7.39E-03,39,1.32E-02,0,0,7.39E-03,39,1.59E+00,0,0,1,1,1,1,7.39E-03,39,0,0,2
10,10,1.53E-04,0,0,3,0,3.99E-02,0,2.87E-04,6.11E-06,1,5.00E-03,2,5.68E-04,3,9.95E-03,1.21E-01,8.16E-02,4.67E-02,9.18E-01,4.00E-02,2,6.25E-01,5,0,2.17E-04,1.53E-04,7.67E-03,3.68E-01,0,0,1.53E-04,5.18E-05,0,5.00E-03,2,5.68E-04,3,1.34E-01,6.32E+00,1.62E-02,1.68E+00,0,1.34E-01,6.32E+00,5.68E-04,3,1.10E-02,0,0,5.68E-04,3,1.21E-01,0,0,1,1,1,1,5.68E-04,3,0,0,2
13,13,1.62E-04,0,0,9,0,3.99E-02,0,2.87E-04,6.11E-06,1,1.00E-02,4,1.70E-03,9,1.98E-02,3.65E-01,8.16E-02,4.67E-02,9.18E-01,4.00E-02,8,6.25E-01,5,0,2.29E-04,1.62E-04,7.67E-03,3.68E-01,0,0,1.62E-04,5.18E-05,0,1.00E-02,4,1.70E-03,9,1.34E-01,6.32E+00,2.55E-02,2.64E+00,0,1.34E-01,6.32E+00,1.70E-03,9,1.10E-02,0,0,1.70E-03,9,3.65E-01,0,0,1,1,1,1,1.70E-03,9,0,0,2
16,16,1.59E-04,0,0,7,0,3.99E-02,0,2.87E-04,6.11E-06,1,7.50E-03,3,1.33E-03,7,1.49E-02,2.84E-01,8.16E-02,4.67E-02,9.18E-01,4.00E-02,6,6.25E-01,5,0,2.25E-04,1.59E-04,7.67E-03,3.68E-01,0,0,1.59E-04,5.18E-05,0,7.50E-03,3,1.33E-03,7,1.34E-01,6.32E+00,2.35E-02,2.44E+00,0,1.34E-01,6.32E+00,1.33E-03,7,1.10E-02,0,0,1.33E-03,7,2.84E-01,0,0,1,1,1,1,1.33E-03,7,0,0,2
37,37,3.33E-02,0,0,37,1.00E-01,3.88E-01,2,2.87E-04,6.11E-06,9.00E-01,2.25E-02,9,7.01E-03,37,4.40E-02,1.46E+00,1.22E-01,3.71E-02,8.78E-01,8.69E-02,21,7.50E-01,6,2.50E-01,4.72E-02,3.33E-02,5.49E-04,2.63E-02,0,0,3.33E-02,5.17E-05,0,2.25E-02,9,7.01E-03,37,1.15E-01,5.42E+00,3.26E-02,3.38E+00,0,1.15E-01,5.42E+00,7.01E-03,37,5.52E-02,0,0,7.01E-03,37,1.46E+00,8.51E-02,4,1,7.46E-01,1.94E+00,4.85E-01,7.01E-03,37,5,0,2
